CD_MUN,NM_MUN,Pessoas_afetadas,Domicilios_afetados,Pessoas_%,Domicilios_%,Pessoas_2022,Domicilios_2022,Vias_Diretamente_Afetadas_m,Vias_Diretamente_Afetadas_km,Area_Municpio_m2,Area_Urbana_m2,Area_NaoUrbana_m2,Area_Diretamente_Afetada_Municipio_m2,Area_Diretamente_Afetada_Municipio_%,Area_Diretamente_Afetada_Urbana_m2,Area_Diretamente_Afetada_Urbana_%,Estruturas_Afetadas_nro,Area_Construida_Afetada_m2,Domicilios_Particulares_Afetados_Diretamente,Domicilios_Coletivos_Afetados_Diretamente,Estabelecim_Agropecuario_Afetados_Diretamente,Estabelecim_Ensino_Afetados_Diretamente,Estabelecim_Saude_Afetados_Diretamente,Edificacao_Construcao_Afetados_Diretamente,Estabelecim_Religiosos_Afetados_Diretamente
"4312906",Nova Bassano,"16","9",0.2,0.2,"9649","3953",996,1,211613043,2511372,209101671,870008,0.41,18727,0.75,63,112718317,7,"0","0","0","0",0,"0"
"4304101",Campos Borges,"14","16",0.4,0.9,"3613","1845",,,226202118,1323934,224878184,6681653,2.95,0,0,109,127250216,40,"0","9","9","0",1,"0"
"4312807",Nova Araçá,"14","7",0.3,0.3,"4954","2052",,,75513594,1695451,73818143,435356,0.58,0,0,42,99571502,4,"0","3","3","0",0,"0"
"4319711",São Valentim do Sul,"13","13",0.6,1,"2207","1313",529,0.5,91898427,623822,91274605,841009,0.92,1993,3.19,128,205163304,13,"0","0","0","0",1,"1"
"4302105",Bento Gonçalves,"13","11",0,0,"123151","55648",547,0.5,272287435,21641408,250646027,621548,0.23,0,0,128,120126477,38,"0","2","2","0",0,"0"
"4314001",Paraí,"12","6",0.2,0.2,"7194","2985",,,121745094,2441324,119303770,489595,0.4,0,0,31,75095238,2,"0","4","4","0",0,"0"
"4310579",Itapuca,"11","4",0.6,0.4,"1937","901",,,184673349,32676,184346589,1094994,0.59,0,0,16,22005103,1,"0","0","0","0",0,"0"
"4312385",Monte Belo do Sul,"11","5",0.4,0.4,"2557","1200",187,0.2,69726337,420303,69306034,417374,0.6,0,0,49,46458555,4,"0","3","3","0",0,"0"
"4312757",Nova Alvorada,"11","5",0.3,0.3,"3163","1445",,,148860573,836314,148024259,216799,0.15,0,0,39,57138255,4,"0","5","5","0",0,"0"
"4312351",Montauri,"10","4",0.7,0.6,"1499","619",566,0.6,82231346,46255,81768796,2339745,2.85,0,0,37,45451619,4,"0","6","6","0",0,"0"
"4315131",Pouso Novo,"10","4",0.6,0.5,"1739","801",,,105338253,228108,105110145,1302857,1.24,0,0,113,408937165,18,"0","0","0","0",2,"1"
"4316972",Santa Margarida do Sul,"10","4",0.4,0.3,"2596","1378",,,955299164,401755,954897409,1877075,0.2,0,0,23,18391052,6,"0","1","1","0",0,"0"
"4302709",Butiá,"10","7",0.1,0.1,"19084","9091",629,0.6,752182416,5559237,746623179,39028341,5.19,0,0,17,4943139,0,"0","0","0","0",0,"0"
"4303558",Camargo,"9","4",0.3,0.3,"2981","1306",,,138068601,1053698,137014903,2395983,1.74,0,0,16,23466229,2,"0","2","2","0",0,"0"
"4318481",São José do Hortêncio,"9","4",0.2,0.2,"4447","1972",,,63708487,1316352,62392135,215103,0.34,0,0,29,42471038,5,"0","5","5","0",1,"0"
"4304903",Casca,"9","4",0.1,0.1,"9465","4244",,,272044529,3187688,268856841,880406,0.32,0,0,75,205840801,5,"0","4","4","0",0,"0"
"4306452",Dois Lajeados,"7","3",0.2,0.2,"3097","1489",10,0,133534338,711762,132822576,1036174,0.78,0,0,22,86201436,2,"0","2","2","0",0,"0"
"4320859",Tabaí,"7","4",0.2,0.2,"4461","2237",,,94754329,830176,93924153,20431,0.22,0,0,0,0,0,"0","0","0","0",0,"0"
"4313201",Nova Petrópolis,"7","5",0,0,"23300","11769",,,290164236,3822199,286342037,326904,0.11,2332,0.06,39,61987094,2,"0","0","0","0",0,"0"
"4306759",Doutor Ricardo,"6","4",0.3,0.4,"1888","927",61,0.1,107960554,530211,107430343,257802,0.24,0,0,85,209177808,9,"0","10","10","0",0,"0"
"4310363",Imigrante,"6","3",0.2,0.2,"3080","1404",,,71716247,548971,71167276,387088,0.54,0,0,22,26597747,3,"0","1","1","0",0,"0"
"4311254",Lagoão,"6","3",0.1,0.1,"5341","2615",,,387485078,533243,386951835,963396,0.25,0,0,4,6023691,0,"0","0","0","0",0,"0"
"4314068",Passa Sete,"5","3",0.1,0.2,"3983","1885",,,304265215,254279,304010936,622022,0.2,0,0,65,6372611,9,"0","4","4","0",0,"0"
"4323606",Vista Alegre do Prata,"4","1",0.3,0.1,"1590","772",,,119325930,309407,119016523,412384,0.35,0,0,17,51976319,3,"0","2","2","0",0,"0"
"4309159",Gramado Xavier,"4","1",0.1,0.1,"3304","1578",,,217515519,223052,217292467,83589,0.04,0,0,9,10538241,2,"0","0","0","0",0,"0"
"4309951",Ibirapuitã,"4","4",0.1,0.2,"3723","1888",,,307163065,972564,306190501,5294,0,0,0,0,0,9,"0","0","0","0",0,"0"
"4301404",Arvorezinha,"4","3",0,0.1,"10322","4584",,,269310626,2538032,266772594,264551,0.1,0,0,6,12745369,1,"0","1","1","0",0,"0"
"4307864",Fagundes Varela,"3","2",0.1,0.2,"2566","1129",44,0,134297084,737215,133559869,36406,0.27,0,0,0,0,0,"0","0","0","0",0,"0"
"4309571",Herveiras,"3","2",0.1,0.2,"2565","1237",,,118260880,141926,118118954,174068,0.15,0,0,12,12697154,5,"0","1","1","0",0,"0"
"4315156",Progresso,"3","2",0.1,0.1,"5340","2723",,,256038857,511211,255527646,50119,0.02,0,0,25,49750712,2,"0","2","2","0",0,"0"
"4305835",Coqueiro Baixo,"2","1",0.2,0.1,"1290","688",,,112638256,116662,112521594,333019,0.3,0,0,26,132745262,1,"0","1","1","0",0,"0"
"4314472",Pinhal Grande,"2","1",0.1,0.1,"3805","1768",,,478111584,868306,477243278,304353,0.06,0,0,8,10243586,0,"0","1","1","0",0,"0"
"4300703",Anta Gorda,"2","1",0,0,"5957","2759",166,0.2,242099294,1258025,240841269,153758,0.06,0,0,3,236201,2,"0","1","1","0",0,"0"
"4304697",Capitão,"1","0",0,0,"2921","1213",,,73967121,539917,73427204,37185,0.05,0,0,5,3359561,1,"0","1","1","0",1,"0"
"4306379",Dilermando de Aguiar,"1","0",0,0,"2806","1711",,,600518079,341666,600176413,427854,0.07,0,0,37,92559732,0,"0","0","0","0",0,"0"
"4308300",Fontoura Xavier,"1","1",0,0,"9550","4749",,,583239087,1595912,581643175,358922,0.06,0,0,23,23921801,3,"0","2","2","0",2,"1"
"4311205",Júlio de Castilhos,"1","0",0,0,"18226","8519",425,0.4,1929544849,5802117,1923742732,7115,0,0,0,37,33256534,3,"0","1","1","0",0,"0"
"4305934",Coronel Pilar,"0","0",0,0,"1607","798",,,105668118,111679,105556439,6606,0.01,0,0,0,0,0,"0","0","0","0",0,"0"
"4309753",Ibarama,"0","0",0,0,"3732","1717",,,195427242,377909,195049333,17238,0.01,0,0,0,0,0,"0","0","0","0",0,"0"
"4310538",Itaara,"0","0",0,0,"5572","3383",,,172801063,587521,172213542,42361,0.02,0,0,0,0,0,"0","0","0","0",0,"0"
"4311643",Linha Nova,"0","0",0,0,"1683","952",,,63502092,2484,63253692,4129,0.01,0,0,0,0,0,"0","0","0","0",0,"0"
"4312617",Muitos Capões,"0","0",0,0,"2879","1698",,,1193230092,0,1193230092,6695,0,0,0,0,0,0,"0","0","0","0",0,"0"
"4313003",Nova Bréscia,"0","0",0,0,"3044","1466",,,102994400,358504,102635896,13659,0.01,0,0,2,616501,0,"0","0","0","0",0,"0"
"4314548",Pinto Bandeira,"0","0",0,0,"2723","1267",,,104801123,399606,104401517,6024,0.01,0,0,0,0,0,"0","0","0","0",0,"0"
"4315206",Putinga,"0","0",0,0,"3650","1710",,,216159206,674237,215484969,22457,0.01,0,0,0,0,0,"0","0","0","0",0,"0"
"4317004",Santana da Boa Vista,"0","0",0,0,"7024","4877",,,1418805062,1175668,1417629394,1876,0,0,0,0,0,0,"0","0","0","0",0,"0"
"4318465",São José do Herval,"0","0",0,0,"1902","986",,,102911685,439885,102471800,23563,0.02,0,0,1,885421,2,"0","0","0","0",0,"0"
"4322251",Tupandi,"0","0",0,0,"5029","2131",,,59446607,1401685,58044922,12941,0.02,0,0,5,20385155,1,"0","0","0","0",0,"0"
