"Subject","Start Date","Start Time","End Date","End Time","All day event","Description","Show time as","Location"
"Parashat Vayeilech","9/11/2021",,,,"true","","3","Torah Reading"
"Parashat Ha’azinu","9/18/2021",,,,"true","","3","Torah Reading"
"Parashat Bereshit","10/2/2021",,,,"true","","3","Torah Reading"
"Parashat Noach","10/9/2021",,,,"true","","3","Torah Reading"
"Parashat Lech-Lecha","10/16/2021",,,,"true","","3","Torah Reading"
"Parashat Vayera","10/23/2021",,,,"true","","3","Torah Reading"
"Parashat Chayei Sara","10/30/2021",,,,"true","","3","Torah Reading"
"Parashat Toldot","11/6/2021",,,,"true","","3","Torah Reading"
"Parashat Vayetzei","11/13/2021",,,,"true","","3","Torah Reading"
"Parashat Vayishlach","11/20/2021",,,,"true","","3","Torah Reading"
"Parashat Vayeshev","11/27/2021",,,,"true","","3","Torah Reading"
"Parashat Miketz","12/4/2021",,,,"true","","3","Torah Reading"
"Parashat Vayigash","12/11/2021",,,,"true","","3","Torah Reading"
"Parashat Vayechi","12/18/2021",,,,"true","","3","Torah Reading"
"Parashat Shemot","12/25/2021",,,,"true","","3","Torah Reading"
"Parashat Vaera","1/1/2022",,,,"true","","3","Torah Reading"
"Parashat Bo","1/8/2022",,,,"true","","3","Torah Reading"
"Parashat Beshalach","1/15/2022",,,,"true","","3","Torah Reading"
"Parashat Yitro","1/22/2022",,,,"true","","3","Torah Reading"
"Parashat Mishpatim","1/29/2022",,,,"true","","3","Torah Reading"
"Parashat Terumah","2/5/2022",,,,"true","","3","Torah Reading"
"Parashat Tetzaveh","2/12/2022",,,,"true","","3","Torah Reading"
"Parashat Ki Tisa","2/19/2022",,,,"true","","3","Torah Reading"
"Parashat Vayakhel","2/26/2022",,,,"true","","3","Torah Reading"
"Parashat Pekudei","3/5/2022",,,,"true","","3","Torah Reading"
"Parashat Vayikra","3/12/2022",,,,"true","","3","Torah Reading"
"Parashat Tzav","3/19/2022",,,,"true","","3","Torah Reading"
"Parashat Shmini","3/26/2022",,,,"true","","3","Torah Reading"
"Parashat Tazria","4/2/2022",,,,"true","","3","Torah Reading"
"Parashat Metzora","4/9/2022",,,,"true","","3","Torah Reading"
"Parashat Achrei Mot","4/23/2022",,,,"true","","3","Torah Reading"
"Parashat Kedoshim","4/30/2022",,,,"true","","3","Torah Reading"
"Parashat Emor","5/7/2022",,,,"true","","3","Torah Reading"
"Parashat Behar","5/14/2022",,,,"true","","3","Torah Reading"
"Parashat Bechukotai","5/21/2022",,,,"true","","3","Torah Reading"
"Parashat Bamidbar","5/28/2022",,,,"true","","3","Torah Reading"
"Parashat Nasso","6/4/2022",,,,"true","","3","Torah Reading"
"Parashat Beha’alotcha","6/11/2022",,,,"true","","3","Torah Reading"
"Parashat Sh’lach","6/18/2022",,,,"true","","3","Torah Reading"
"Parashat Korach","6/25/2022",,,,"true","","3","Torah Reading"
"Parashat Chukat","7/2/2022",,,,"true","","3","Torah Reading"
"Parashat Balak","7/9/2022",,,,"true","","3","Torah Reading"
"Parashat Pinchas","7/16/2022",,,,"true","","3","Torah Reading"
"Parashat Matot","7/23/2022",,,,"true","","3","Torah Reading"
"Parashat Masei","7/30/2022",,,,"true","","3","Torah Reading"
"Parashat Devarim","8/6/2022",,,,"true","","3","Torah Reading"
"Parashat Vaetchanan","8/13/2022",,,,"true","","3","Torah Reading"
"Parashat Eikev","8/20/2022",,,,"true","","3","Torah Reading"
"Parashat Re’eh","8/27/2022",,,,"true","","3","Torah Reading"
"Parashat Shoftim","9/3/2022",,,,"true","","3","Torah Reading"
"Parashat Ki Teitzei","9/10/2022",,,,"true","","3","Torah Reading"
"Parashat Ki Tavo","9/17/2022",,,,"true","","3","Torah Reading"
"Parashat Nitzavim","9/24/2022",,,,"true","","3","Torah Reading"
