"Subject","Start Date","Start Time","End Date","End Time","All day event","Description","Show time as","Location"
"Parashat Ha’azinu","9/23/2023",,,,"true","","3","Torah Reading"
"Parashat Bereshit","10/14/2023",,,,"true","","3","Torah Reading"
"Parashat Noach","10/21/2023",,,,"true","","3","Torah Reading"
"Parashat Lech-Lecha","10/28/2023",,,,"true","","3","Torah Reading"
"Parashat Vayera","11/4/2023",,,,"true","","3","Torah Reading"
"Parashat Chayei Sara","11/11/2023",,,,"true","","3","Torah Reading"
"Parashat Toldot","11/18/2023",,,,"true","","3","Torah Reading"
"Parashat Vayetzei","11/25/2023",,,,"true","","3","Torah Reading"
"Parashat Vayishlach","12/2/2023",,,,"true","","3","Torah Reading"
"Parashat Vayeshev","12/9/2023",,,,"true","","3","Torah Reading"
"Parashat Miketz","12/16/2023",,,,"true","","3","Torah Reading"
"Parashat Vayigash","12/23/2023",,,,"true","","3","Torah Reading"
"Parashat Vayechi","12/30/2023",,,,"true","","3","Torah Reading"
"Parashat Shemot","1/6/2024",,,,"true","","3","Torah Reading"
"Parashat Vaera","1/13/2024",,,,"true","","3","Torah Reading"
"Parashat Bo","1/20/2024",,,,"true","","3","Torah Reading"
"Parashat Beshalach","1/27/2024",,,,"true","","3","Torah Reading"
"Parashat Yitro","2/3/2024",,,,"true","","3","Torah Reading"
"Parashat Mishpatim","2/10/2024",,,,"true","","3","Torah Reading"
"Parashat Terumah","2/17/2024",,,,"true","","3","Torah Reading"
"Parashat Tetzaveh","2/24/2024",,,,"true","","3","Torah Reading"
"Parashat Ki Tisa","3/2/2024",,,,"true","","3","Torah Reading"
"Parashat Vayakhel","3/9/2024",,,,"true","","3","Torah Reading"
"Parashat Pekudei","3/16/2024",,,,"true","","3","Torah Reading"
"Parashat Vayikra","3/23/2024",,,,"true","","3","Torah Reading"
"Parashat Tzav","3/30/2024",,,,"true","","3","Torah Reading"
"Parashat Shmini","4/6/2024",,,,"true","","3","Torah Reading"
"Parashat Tazria","4/13/2024",,,,"true","","3","Torah Reading"
"Parashat Metzora","4/20/2024",,,,"true","","3","Torah Reading"
"Parashat Achrei Mot","5/4/2024",,,,"true","","3","Torah Reading"
"Parashat Kedoshim","5/11/2024",,,,"true","","3","Torah Reading"
"Parashat Emor","5/18/2024",,,,"true","","3","Torah Reading"
"Parashat Behar","5/25/2024",,,,"true","","3","Torah Reading"
"Parashat Bechukotai","6/1/2024",,,,"true","","3","Torah Reading"
"Parashat Bamidbar","6/8/2024",,,,"true","","3","Torah Reading"
"Parashat Nasso","6/15/2024",,,,"true","","3","Torah Reading"
"Parashat Beha’alotcha","6/22/2024",,,,"true","","3","Torah Reading"
"Parashat Sh’lach","6/29/2024",,,,"true","","3","Torah Reading"
"Parashat Korach","7/6/2024",,,,"true","","3","Torah Reading"
"Parashat Chukat","7/13/2024",,,,"true","","3","Torah Reading"
"Parashat Balak","7/20/2024",,,,"true","","3","Torah Reading"
"Parashat Pinchas","7/27/2024",,,,"true","","3","Torah Reading"
"Parashat Matot-Masei","8/3/2024",,,,"true","","3","Torah Reading"
"Parashat Devarim","8/10/2024",,,,"true","","3","Torah Reading"
"Parashat Vaetchanan","8/17/2024",,,,"true","","3","Torah Reading"
"Parashat Eikev","8/24/2024",,,,"true","","3","Torah Reading"
"Parashat Re’eh","8/31/2024",,,,"true","","3","Torah Reading"
"Parashat Shoftim","9/7/2024",,,,"true","","3","Torah Reading"
"Parashat Ki Teitzei","9/14/2024",,,,"true","","3","Torah Reading"
"Parashat Ki Tavo","9/21/2024",,,,"true","","3","Torah Reading"
"Parashat Nitzavim-Vayeilech","9/28/2024",,,,"true","","3","Torah Reading"
