"Subject","Start Date","Start Time","End Date","End Time","All day event","Description","Show time as","Location"
"Parashat Vayeilech","9/19/2015",,,,"true","","3","Torah Reading"
"Parashat Ha’azinu","9/26/2015",,,,"true","","3","Torah Reading"
"Parashat Bereshit","10/10/2015",,,,"true","","3","Torah Reading"
"Parashat Noach","10/17/2015",,,,"true","","3","Torah Reading"
"Parashat Lech-Lecha","10/24/2015",,,,"true","","3","Torah Reading"
"Parashat Vayera","10/31/2015",,,,"true","","3","Torah Reading"
"Parashat Chayei Sara","11/7/2015",,,,"true","","3","Torah Reading"
"Parashat Toldot","11/14/2015",,,,"true","","3","Torah Reading"
"Parashat Vayetzei","11/21/2015",,,,"true","","3","Torah Reading"
"Parashat Vayishlach","11/28/2015",,,,"true","","3","Torah Reading"
"Parashat Vayeshev","12/5/2015",,,,"true","","3","Torah Reading"
"Parashat Miketz","12/12/2015",,,,"true","","3","Torah Reading"
"Parashat Vayigash","12/19/2015",,,,"true","","3","Torah Reading"
"Parashat Vayechi","12/26/2015",,,,"true","","3","Torah Reading"
"Parashat Shemot","1/2/2016",,,,"true","","3","Torah Reading"
"Parashat Vaera","1/9/2016",,,,"true","","3","Torah Reading"
"Parashat Bo","1/16/2016",,,,"true","","3","Torah Reading"
"Parashat Beshalach","1/23/2016",,,,"true","","3","Torah Reading"
"Parashat Yitro","1/30/2016",,,,"true","","3","Torah Reading"
"Parashat Mishpatim","2/6/2016",,,,"true","","3","Torah Reading"
"Parashat Terumah","2/13/2016",,,,"true","","3","Torah Reading"
"Parashat Tetzaveh","2/20/2016",,,,"true","","3","Torah Reading"
"Parashat Ki Tisa","2/27/2016",,,,"true","","3","Torah Reading"
"Parashat Vayakhel","3/5/2016",,,,"true","","3","Torah Reading"
"Parashat Pekudei","3/12/2016",,,,"true","","3","Torah Reading"
"Parashat Vayikra","3/19/2016",,,,"true","","3","Torah Reading"
"Parashat Tzav","3/26/2016",,,,"true","","3","Torah Reading"
"Parashat Shmini","4/2/2016",,,,"true","","3","Torah Reading"
"Parashat Tazria","4/9/2016",,,,"true","","3","Torah Reading"
"Parashat Metzora","4/16/2016",,,,"true","","3","Torah Reading"
"Parashat Achrei Mot","4/30/2016",,,,"true","","3","Torah Reading"
"Parashat Kedoshim","5/7/2016",,,,"true","","3","Torah Reading"
"Parashat Emor","5/14/2016",,,,"true","","3","Torah Reading"
"Parashat Behar","5/21/2016",,,,"true","","3","Torah Reading"
"Parashat Bechukotai","5/28/2016",,,,"true","","3","Torah Reading"
"Parashat Bamidbar","6/4/2016",,,,"true","","3","Torah Reading"
"Parashat Nasso","6/11/2016",,,,"true","","3","Torah Reading"
"Parashat Beha’alotcha","6/18/2016",,,,"true","","3","Torah Reading"
"Parashat Sh’lach","6/25/2016",,,,"true","","3","Torah Reading"
"Parashat Korach","7/2/2016",,,,"true","","3","Torah Reading"
"Parashat Chukat","7/9/2016",,,,"true","","3","Torah Reading"
"Parashat Balak","7/16/2016",,,,"true","","3","Torah Reading"
"Parashat Pinchas","7/23/2016",,,,"true","","3","Torah Reading"
"Parashat Matot","7/30/2016",,,,"true","","3","Torah Reading"
"Parashat Masei","8/6/2016",,,,"true","","3","Torah Reading"
"Parashat Devarim","8/13/2016",,,,"true","","3","Torah Reading"
"Parashat Vaetchanan","8/20/2016",,,,"true","","3","Torah Reading"
"Parashat Eikev","8/27/2016",,,,"true","","3","Torah Reading"
"Parashat Re’eh","9/3/2016",,,,"true","","3","Torah Reading"
"Parashat Shoftim","9/10/2016",,,,"true","","3","Torah Reading"
"Parashat Ki Teitzei","9/17/2016",,,,"true","","3","Torah Reading"
"Parashat Ki Tavo","9/24/2016",,,,"true","","3","Torah Reading"
"Parashat Nitzavim","10/1/2016",,,,"true","","3","Torah Reading"
