features;feature_importances
ln_filiais;0,849262
ln_idade;0,03725826
ln_capsoc;0,020131962
ln_juros;0,01695419
ln_contratos;0,01645722
ln_sociosage;0,014504511
ln_vlrcontrato;0,012706286
ln_amortizacao;0,011513414
ln_carencia;0,009916691
ln_vlrdesembolso;0,00573401
ln_qtdsocios;0,005561381
