,Model Index,ANO,Accuracy,AUC,KS Score,F1 score,Recall,Precision,False positive rate,True positive rate
0,0,2002,0.9210526315789473,0.9348484848484848,0.793939393939394,0.955223880597015,0.9696969696969697,0.9411764705882353,0.4,0.9696969696969697
1,0,2003,0.75,0.814453125,0.5625,0.8378378378378379,0.96875,0.7380952380952381,0.6875,0.96875
2,0,2004,0.7846153846153846,0.9190476190476191,0.819047619047619,0.8250000000000001,0.9428571428571428,0.7333333333333333,0.4,0.9428571428571428
3,0,2005,0.4351851851851852,0.6765604539502401,0.36621562636403315,0.46956521739130436,0.9310344827586207,0.313953488372093,0.7468354430379747,0.9310344827586207
4,0,2006,0.6762589928057554,0.8835942818243703,0.7256637168141593,0.5360824742268041,1.0,0.36619718309859156,0.39823008849557523,1.0
5,0,2007,0.6153846153846154,0.8366750208855472,0.5747702589807853,0.5112781954887219,0.9444444444444444,0.35051546391752575,0.47368421052631576,0.9444444444444444
6,0,2008,0.6263736263736264,0.8685927306616962,0.6706430568499534,0.5211267605633803,1.0,0.3523809523809524,0.4689655172413793,1.0
7,0,2009,0.5402298850574713,0.8339160839160839,0.5683658446816342,0.45454545454545453,0.9615384615384616,0.2976190476190476,0.5645933014354066,0.9615384615384616
8,0,2010,0.536697247706422,0.8060974309775077,0.4873680844259674,0.5167464114832535,0.9152542372881356,0.36,0.6037735849056604,0.9152542372881356
9,0,2011,0.6313725490196078,0.8229527104959631,0.5294117647058824,0.5,0.9215686274509803,0.34306569343065696,0.4411764705882353,0.9215686274509803
10,0,2012,0.652014652014652,0.8405337781484571,0.6291075896580484,0.527363184079602,0.9636363636363636,0.363013698630137,0.42660550458715596,0.9636363636363636
11,0,2013,0.6091549295774648,0.8465029761904762,0.5583333333333333,0.5022421524663677,0.9333333333333333,0.34355828220858897,0.47767857142857145,0.9333333333333333
12,0,2014,0.6175298804780877,0.8418339663591969,0.5596852957135106,0.5384615384615384,0.9824561403508771,0.3708609271523179,0.4896907216494845,0.9824561403508771
13,0,2015,0.6454183266932271,0.8435540069686411,0.5571428571428572,0.4539877300613496,0.9024390243902439,0.30327868852459017,0.40476190476190477,0.9024390243902439
14,0,2016,0.7318840579710145,0.8543689320388349,0.689875173370319,0.6476190476190476,0.9714285714285714,0.4857142857142857,0.34951456310679613,0.9714285714285714
15,0,2017,0.7903186214345329,0.9091409076879634,0.7477899474078724,0.45376646630003836,0.9636067354698533,0.2967547674807628,0.22689982728842834,0.9636067354698533
16,0,2018,0.7999644907380008,0.9103119395073556,0.7511464517041939,0.4405825885468388,0.955491744436468,0.28629812862981285,0.2140092879256966,0.955491744436468
17,0,2019,0.8370056909382753,0.9252775889269096,0.7834451974299269,0.4324186991869919,0.9529675251959686,0.279658232007887,0.17107625068290017,0.9529675251959686
18,0,2020,0.8594255802741235,0.934875343760514,0.800844386827665,0.44082191780821917,0.9431418522860492,0.2876296031462281,0.14579979511195668,0.9431418522860492
19,0,2021,0.846121659082588,0.9226640864272193,0.7810657522321997,0.41441082802547774,0.9344703770197487,0.26624040920716113,0.15934462649264095,0.9344703770197487
20,0,2022,0.8601968819975495,0.9345526890277345,0.8148373105062605,0.41875988055506763,0.9581993569131833,0.2679253764890987,0.1452396878483835,0.9581993569131833
